
=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu104ca0000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu10484c000_sz8000.hex ===
  +0x0010: 0x00000808 -> 0x00000101   (A 2056  B 257)
  +0x0014: 0x00000000 -> 0x00000034   (A 0  B 52)
  +0x0020: 0x00000040 -> 0x00058000   (A 64  B 360448)
  +0x0028: 0x00058000 -> 0x00058014   (A 360448  B 360468)
  +0x0030: 0x0005801c -> 0x00058030   (A 360476  B 360496)
  +0x0034: 0x00000700 -> 0x00000300   (A 1792  B 768)
  +0x0038: 0x00058030 -> 0x00058044   (A 360496  B 360516)
  +0x003c: 0x00000500 -> 0x00000200   (A 1280  B 512)
  +0x0040: 0x0005804c -> 0x00058050   (A 360524  B 360528)
  +0x0044: 0x00000a00 -> 0x40000001   (A 2560  B 1073741825)
  +0x0048: 0x00068900 -> 0x0000ffff   (A 428288  B 65535)
  +0x004c: 0x00000300 -> 0x61f30300   (A 768  B 1643315968)
  +0x0050: 0x00058060 -> 0x00258000   (A 360544  B 2457600)
  +0x0054: 0x00000200 -> 0x00000002   (A 512  B 2)
  +0x0058: 0x0005806c -> 0x00000001   (A 360556  B 1)
  +0x005c: 0x00000200 -> 0x00000000   (A 512  B 0)
  +0x0060: 0x00048000 -> 0x000007ff   (A 294912  B 2047)
  +0x0064: 0x61c40600 -> 0x00000001   (A 1640236544  B 1)
  +0x0068: 0x00000003 -> 0x4000002e   (A 3  B 1073741870)
  +0x006c: 0x00000001 -> 0x00000000   (A 1  B 0)
  +0x0070: 0x00000000 -> 0x01000000   (A 0  B 16777216)
  +0x0074: 0xc0000000 -> 0x00004803   (A 3221225472  B 18435)
  +0x0078: 0x00000000 -> 0x00000808   (A 0  B 2056)
  +0x0084: 0x00000000 -> 0x00000500   (A 0  B 1280)
  +0x0088: 0x00000000 -> 0x00000040   (A 0  B 64)
  +0x008c: 0x00000000 -> 0x00000700   (A 0  B 1792)
  +0x0090: 0x00000000 -> 0x00058058   (A 0  B 360536)
  +0x0094: 0x00000000 -> 0x00000500   (A 0  B 1280)
  +0x0098: 0x00000000 -> 0x00058074   (A 0  B 360564)
  +0x009c: 0x00000000 -> 0x00000700   (A 0  B 1792)
  +0x00a0: 0x00000000 -> 0x00058088   (A 0  B 360584)
  +0x00a4: 0x00000000 -> 0x00000500   (A 0  B 1280)
  +0x00a8: 0x00000000 -> 0x000580a4   (A 0  B 360612)
  +0x00ac: 0x00000000 -> 0x00000a00   (A 0  B 2560)
  +0x00b0: 0x00000000 -> 0x00068900   (A 0  B 428288)
  +0x00b4: 0x00000000 -> 0x00000300   (A 0  B 768)
  +0x00b8: 0x00000000 -> 0x000580b8   (A 0  B 360632)
  +0x00bc: 0x00000000 -> 0x00000200   (A 0  B 512)
  +0x00c0: 0x00000000 -> 0x000580c4   (A 0  B 360644)
  +0x00c4: 0x00000000 -> 0x00000200   (A 0  B 512)
  +0x00c8: 0x00000000 -> 0x00048000   (A 0  B 294912)
  +0x00cc: 0x00000000 -> 0x61c40600   (A 0  B 1640236544)
  +0x00d0: 0x00000000 -> 0x00000003   (A 0  B 3)
  +0x00d4: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x00dc: 0x00000000 -> 0xc0000000   (A 0  B 3221225472)

=== gpu_va=0x58000  A=bo_sigusr1_h0_va58000_cpu1099b8000_sz8000.hex  B=bo_sigusr1_h0_va58000_cpu109860000_sz8000.hex ===
  +0x0000: 0x00800000 -> 0x02000048   (A 8388608  B 33554504)
  +0x0004: 0x00020100 -> 0x00200200   (A 131328  B 2097664)
  +0x0008: 0x000004c0 -> 0x17200000   (A 1216  B 387973120)
  +0x000c: 0x00000000 -> 0x17200000   (A 0  B 387973120)
  +0x0010: 0x01000000 -> 0x00000000   (A 16777216  B 0)
  +0x0014: 0x00004c19 -> 0x010000b4   (A 19481  B 16777396)
  +0x0018: 0x00000000 -> 0x00040200   (A 0  B 262656)
  +0x001c: 0x0c0a0000 -> 0x07e00f00   (A 201981952  B 132124416)
  +0x0020: 0x00010000 -> 0x0e000000   (A 65536  B 234881024)
  +0x0024: 0x00000000 -> 0x07e00f00   (A 0  B 132124416)
  +0x0028: 0x00000000 -> 0x0e000000   (A 0  B 234881024)
  +0x002c: 0x00000008 -> 0x00000000   (A 8  B 0)
  +0x0030: 0x010000b4 -> 0x0c0a0000   (A 16777396  B 201981952)
  +0x0034: 0x00040200 -> 0x00000000   (A 262656  B 0)
  +0x0038: 0x07200f00 -> 0x00000000   (A 119541504  B 0)
  +0x003c: 0x0e000000 -> 0x00000000   (A 234881024  B 0)
  +0x0040: 0x07200f00 -> 0x00000001   (A 119541504  B 1)
  +0x0044: 0x0e000000 -> 0x00410000   (A 234881024  B 4259840)
  +0x004c: 0x02000048 -> 0x00020080   (A 33554504  B 131200)
  +0x0050: 0x00000200 -> 0x00200000   (A 512  B 2097152)
  +0x0054: 0x07e00000 -> 0x00000480   (A 132120576  B 1152)
  +0x0058: 0x07e00000 -> 0x00800000   (A 132120576  B 8388608)
  +0x005c: 0x0001ffff -> 0x00020100   (A 131071  B 131328)
  +0x0060: 0x00410000 -> 0x000004c0   (A 4259840  B 1216)
  +0x0068: 0x00000080 -> 0x01000000   (A 128  B 16777216)
  +0x006c: 0x00200000 -> 0x00004c19   (A 2097152  B 19481)
  +0x0070: 0x00000480 -> 0x00000000   (A 1152  B 0)
  +0x0074: 0x00000000 -> 0x0c0a0000   (A 0  B 201981952)
  +0x0078: 0x00000000 -> 0x00010000   (A 0  B 65536)
  +0x0084: 0x00000000 -> 0x00000008   (A 0  B 8)
  +0x0088: 0x00000000 -> 0x010000b4   (A 0  B 16777396)
  +0x008c: 0x00000000 -> 0x0004c200   (A 0  B 311808)
  +0x0090: 0x00000000 -> 0x07200f00   (A 0  B 119541504)
  +0x0094: 0x00000000 -> 0x0e000000   (A 0  B 234881024)
  +0x0098: 0x00000000 -> 0x07200f00   (A 0  B 119541504)
  +0x009c: 0x00000000 -> 0x0e000000   (A 0  B 234881024)
