
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu104fb0000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1030fc000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x069c: 0x00060006 -> 0x05390800   (A 393222  B 87623680)
  +0x06a0: 0x00060006 -> 0x0041033c   (A 393222  B 4260668)
  +0x06a4: 0x00060006 -> 0x804c0c00   (A 393222  B 2152467456)
  +0x06a8: 0x00060006 -> 0x00003e23   (A 393222  B 15907)
  +0x06ac: 0x00060006 -> 0x80400400   (A 393222  B 2151678976)
  +0x06b0: 0x00060006 -> 0x3e23805c   (A 393222  B 1042514012)
  +0x06b4: 0x00060006 -> 0x08000000   (A 393222  B 134217728)
  +0x06b8: 0x00060006 -> 0x806c8040   (A 393222  B 2154594368)
  +0x06bc: 0x00060006 -> 0x00003e23   (A 393222  B 15907)
  +0x06c0: 0x0610dd0c -> 0xa0400a00   (A 101768460  B 2688551424)
  +0x06c4: 0x0454119f -> 0x04544657   (A 72618399  B 72631895)
  +0x06c8: 0xe8000003 -> 0x004a4000   (A 3892314115  B 4866048)
  +0x06cc: 0x019f0516 -> 0x06548657   (A 27198742  B 106202711)
  +0x06d0: 0x02020254 -> 0x004b4020   (A 33686100  B 4931616)
  +0x06d4: 0x04118c10 -> 0x02542657   (A 68258832  B 39069271)
  +0x06d8: 0x0054019f -> 0x004b4040   (A 5505439  B 4931648)
  +0x06dc: 0x88100402 -> 0x00541657   (A 2282750978  B 5510743)
  +0x06e0: 0x00670411 -> 0x00434060   (A 6751249  B 4407392)
  +0x06e4: 0x82000454 -> 0x08550657   (A 2181039188  B 139789911)
  +0x06e8: 0x09510020 -> 0x00494080   (A 156303392  B 4800640)
  +0x06ec: 0x00464000 -> 0x0a540657   (A 4603904  B 173278807)
  +0x06f0: 0x02540067 -> 0x004c40a0   (A 39059559  B 4997280)
  +0x06f4: 0x00208100 -> 0x0c560657   (A 2130176  B 206964311)
  +0x06f8: 0x40000811 -> 0x004d40c0   (A 1073743889  B 5062848)
  +0x06fc: 0x00670046 -> 0x00540657   (A 6750278  B 5506647)
  +0x0700: 0x80000044 -> 0x004840e0   (A 2147483716  B 4735200)
  +0x0704: 0x08510020 -> 0x0000000e   (A 139526176  B 14)
  +0x0708: 0x00464000 -> 0x00000000   (A 4603904  B 0)
  +0x070c: 0x002f050b -> 0x00000000   (A 3081483  B 0)
  +0x0710: 0x88000042 -> 0x00000000   (A 2281701442  B 0)
  +0x0714: 0x021b0000 -> 0x00000000   (A 35323904  B 0)
  +0x0718: 0x012b2429 -> 0x00000000   (A 19604521  B 0)
  +0x071c: 0x4042002f -> 0x00000000   (A 1078067247  B 0)
  +0x0720: 0x00000400 -> 0x00000000   (A 1024  B 0)
  +0x0724: 0x3e23803c -> 0x00000000   (A 1042513980  B 0)
  +0x0728: 0x0c000000 -> 0x00000000   (A 201326592  B 0)
  +0x072c: 0x46576040 -> 0x00000000   (A 1180131392  B 0)
  +0x0730: 0x40000054 -> 0x00000000   (A 1073741908  B 0)
  +0x0734: 0x1657004a -> 0x00000000   (A 374800458  B 0)
  +0x0738: 0x40200254 -> 0x00000000   (A 1075839572  B 0)
  +0x073c: 0x26570048 -> 0x00000000   (A 643235912  B 0)
  +0x0740: 0x40400454 -> 0x00000140   (A 1077937236  B 320)
  +0x0744: 0x86570049 -> 0x00000000   (A 2253848649  B 0)
  +0x0748: 0x40600654 -> 0x00000000   (A 1080034900  B 0)
  +0x074c: 0x000e004b -> 0x00000000   (A 917579  B 0)
  +0x0780: 0x000000c0 -> 0x00070003   (A 192  B 458755)
  +0x0784: 0x00000000 -> 0x00000002   (A 0  B 2)
  +0x0788: 0x00000000 -> 0x000e0060   (A 0  B 917600)
  +0x078c: 0x00000000 -> 0x00060000   (A 0  B 393216)
  +0x0790: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0794: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0798: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x079c: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07a0: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07a4: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07a8: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07ac: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07b0: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07b4: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07b8: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07bc: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x07c0: 0x0000000e -> 0x0610dd0c   (A 14  B 101768460)
  +0x07c4: 0x00060006 -> 0x0454119f   (A 393222  B 72618399)
  +0x07c8: 0x00060006 -> 0xe8000003   (A 393222  B 3892314115)
  +0x07cc: 0x00060006 -> 0x019f0516   (A 393222  B 27198742)
  +0x07d0: 0x00060006 -> 0x02020254   (A 393222  B 33686100)
  +0x07d4: 0x00060006 -> 0x04118c10   (A 393222  B 68258832)
  +0x07d8: 0x00060006 -> 0x0054019f   (A 393222  B 5505439)
  +0x07dc: 0x00060006 -> 0x88100402   (A 393222  B 2282750978)
  +0x07e0: 0x00060006 -> 0x00670411   (A 393222  B 6751249)
  +0x07e4: 0x00060006 -> 0x82000454   (A 393222  B 2181039188)
  +0x07e8: 0x00060006 -> 0x09510020   (A 393222  B 156303392)
  +0x07ec: 0x00060006 -> 0x00464000   (A 393222  B 4603904)
  +0x07f0: 0x00060006 -> 0x02540067   (A 393222  B 39059559)
  +0x07f4: 0x00060006 -> 0x00208100   (A 393222  B 2130176)
  +0x07f8: 0x00060006 -> 0x40000811   (A 393222  B 1073743889)
  +0x07fc: 0x00060006 -> 0x00670046   (A 393222  B 6750278)
  +0x0800: 0x06118404 -> 0x80000044   (A 101811204  B 2147483716)
  +0x0804: 0x00000001 -> 0x08510020   (A 1  B 139526176)
  +0x0808: 0x0054119f -> 0x00464000   (A 5509535  B 4603904)
  +0x080c: 0x00001e03 -> 0x002f050b   (A 7683  B 3081483)
  +0x0810: 0x000b0414 -> 0x88000042   (A 721940  B 2281701442)
  +0x0814: 0x02870429 -> 0x021b0000   (A 42402857  B 35323904)
  +0x0818: 0x00030154 -> 0x012b2429   (A 196948  B 19604521)
  +0x081c: 0x00541457 -> 0x4042002f   (A 5510231  B 1078067247)
  +0x0820: 0x02070100 -> 0x00000400   (A 34013440  B 1024)
  +0x0824: 0x00030154 -> 0x3e23803c   (A 196948  B 1042513980)
  +0x0828: 0x0000000e -> 0x0c000000   (A 14  B 201326592)
  +0x082c: 0x00000000 -> 0x46576040   (A 0  B 1180131392)
  +0x0830: 0x00000000 -> 0x40000054   (A 0  B 1073741908)
  +0x0834: 0x00000000 -> 0x1657004a   (A 0  B 374800458)
  +0x0838: 0x00000000 -> 0x40200254   (A 0  B 1075839572)
  +0x083c: 0x00000000 -> 0x26570048   (A 0  B 643235912)
  +0x0840: 0x000000c0 -> 0x40400454   (A 192  B 1077937236)
  +0x0844: 0x00000000 -> 0x86570049   (A 0  B 2253848649)
  +0x0848: 0x00000000 -> 0x40600654   (A 0  B 1080034900)
  +0x084c: 0x00000000 -> 0x000e004b   (A 0  B 917579)
  +0x0880: 0x0000000e -> 0x000000c0   (A 14  B 192)
