  +0x0038: 0x00264000 -> 0x00000000   (A 2506752  B 0)
  +0x003c: 0x412a0077 -> 0x00000000   (A 1093271671  B 0)
  +0x0044: 0x0b2a0177 -> 0x00000000   (A 187302263  B 0)
  +0x0048: 0x02000000 -> 0x00000000   (A 33554432  B 0)
  +0x004c: 0x00f70000 -> 0x00000000   (A 16187392  B 0)
  +0x0050: 0x0003802a -> 0x00000000   (A 229418  B 0)
  +0x0058: 0x0002801c -> 0x00000000   (A 163868  B 0)
  +0x0060: 0x06118114 -> 0x00000000   (A 101810452  B 0)
  +0x0068: 0x0002800c -> 0x00000000   (A 163852  B 0)
  +0x006c: 0x00000008 -> 0x00000000   (A 8  B 0)
  +0x0070: 0x0054119f -> 0x00000000   (A 5509535  B 0)
  +0x0074: 0xa8080002 -> 0x00000000   (A 2819096578  B 0)
  +0x0078: 0x801c0510 -> 0x00000000   (A 2149319952  B 0)
  +0x007c: 0x00040002 -> 0x00000000   (A 262146  B 0)
  +0x0080: 0x120f0000 -> 0x00000000   (A 302972928  B 0)
  +0x0084: 0x004c0054 -> 0x00000000   (A 4980820  B 0)
  +0x0088: 0x4409240b -> 0x00000000   (A 1141449739  B 0)
  +0x008c: 0x0409261b -> 0x00000000   (A 67708443  B 0)
  +0x0090: 0x0409282b -> 0x00000000   (A 67708971  B 0)
  +0x0094: 0x04092a3b -> 0x00000000   (A 67709499  B 0)
  +0x0098: 0x00070003 -> 0x00000000   (A 458755  B 0)
  +0x009c: 0x00000002 -> 0x00000000   (A 2  B 0)
  +0x00a0: 0x000e0060 -> 0x00000000   (A 917600  B 0)
  +0x0120: 0x00000000 -> 0x000e0000   (A 0  B 917504)
  +0x0124: 0x00000000 -> 0x00000340   (A 0  B 832)
  +0x0140: 0x00000000 -> 0x60000000   (A 0  B 1610612736)
  +0x0144: 0x00000000 -> 0x0000035b   (A 0  B 859)
  +0x0160: 0x00000000 -> 0x00120168   (A 0  B 1180008)
  +0x0164: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0168: 0x00000000 -> 0x00000002   (A 0  B 2)
  +0x016c: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x017c: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x01f0: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x01fc: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x02d0: 0x00000000 -> 0x00100091   (A 0  B 1048721)
  +0x02f0: 0x00000000 -> 0x00410001   (A 0  B 4259841)
  +0x0300: 0x00000000 -> 0x00120320   (A 0  B 1180448)
  +0x0304: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0308: 0x00000000 -> 0x00120420   (A 0  B 1180704)
  +0x030c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0320: 0x00000000 -> 0xf6888e02   (A 0  B 4136144386)
  +0x0324: 0x00000000 -> 0x0000fc03   (A 0  B 64515)
  +0x0328: 0x00000000 -> 0x00005800   (A 0  B 22528)
  +0x032c: 0x00000000 -> 0x000fc010   (A 0  B 1032208)
  +0x0420: 0x00000000 -> 0x000e0000   (A 0  B 917504)
  +0x0424: 0x00000000 -> 0x00000340   (A 0  B 832)
  +0x0440: 0x00000000 -> 0x60000000   (A 0  B 1610612736)
  +0x0444: 0x00000000 -> 0x0000035b   (A 0  B 859)
  +0x0460: 0x00000000 -> 0x00120468   (A 0  B 1180776)
  +0x0464: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0468: 0x00000000 -> 0x01000002   (A 0  B 16777218)
  +0x047c: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x04f0: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x04fc: 0x00000000 -> 0x3f800000   (A 0  B 1065353216)
  +0x05d0: 0x00000000 -> 0x00100091   (A 0  B 1048721)
  +0x05f0: 0x00000000 -> 0x00410001   (A 0  B 4259841)
  +0x0600: 0x00000000 -> 0x00120620   (A 0  B 1181216)
  +0x0604: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0608: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x060c: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0610: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0614: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0618: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x061c: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0620: 0x00000000 -> 0x3fe48e02   (A 0  B 1071943170)
  +0x0624: 0x00000000 -> 0x00000fc0   (A 0  B 4032)
  +0x0628: 0x00000000 -> 0x00005800   (A 0  B 22528)
  +0x062c: 0x00000000 -> 0x0003f010   (A 0  B 258064)
  +0x0820: 0x00000000 -> 0x00120828   (A 0  B 1181736)
  +0x0824: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x082c: 0x00000000 -> 0x10021100   (A 0  B 268570880)
  +0x0874: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0878: 0x00000000 -> 0x00400101   (A 0  B 4194561)
  +0x08bc: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x08c4: 0x00000000 -> 0x0000006f   (A 0  B 111)
  +0x08c8: 0x00000000 -> 0x00058000   (A 0  B 360448)
  +0x08cc: 0x00000000 -> 0x00058000   (A 0  B 360448)
  +0x08d0: 0x00000000 -> 0x60000000   (A 0  B 1610612736)
  +0x08d8: 0x00000000 -> 0x00058000   (A 0  B 360448)
