BOs only in A: 0x10000060000 0x10000088000 0x10000100000 0x10000110000 0x10000248000 0x10000258000
BOs only in B: 0x10000080000 0x100000a8000 0x10000150000 0x10000160000 0x100002a8000 0x100002b8000

  +0x05a8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05ac: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05b0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05b4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05b8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05bc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05c0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05c4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05c8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05cc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05d0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05d4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05d8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05dc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05e0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05e4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05e8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05ec: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05f0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05f4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05f8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x05fc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0880: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0884: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0888: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x088c: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0890: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0894: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0898: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x089c: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08a0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08a4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08a8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08ac: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08b0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08b4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08b8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08bc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08c0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08c4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08c8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08cc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08d0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08d4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08d8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08dc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08e0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08e4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08e8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08ec: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08f0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08f4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08f8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x08fc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0b80: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
