############ SAMPLE POSITIONS: msaa4b vs msaa4sp (all BOs, wide) ############
   +0x046c: 06000600 -> 00000000
   +0x0470: 06000600 -> 00000000
   +0x0474: 06000600 -> 00000000
   +0x0478: 06000600 -> 00000000
   +0x047c: 06000600 -> 00000000
   +0x0480: 0cdd1006 -> 23000702
   +0x0484: 2704041a -> 4220a002
   ...(8994 more)
va 10000018000: 2 diffs
   +0x0020: 00000f68 -> 00000f08
   +0x0024: 1b070000 -> 00070000
va 10000040000: 3 diffs
   +0x0020: 00000000 -> ffff0000
   +0x0040: 00000f68 -> 00000f08
   +0x0044: 1b070000 -> 00070000
va 10000080000: 203 diffs
   +0x0000: 00000000 -> ad8d0100
   +0x0004: 00000000 -> ffffffff
   +0x0008: 00000000 -> 5044efb5
   +0x000c: 00000000 -> fafe6d8c
   +0x0010: 00000000 -> 0100ffff
   +0x0014: 00000000 -> ffff507b
   +0x0018: 00000000 -> faa38d01
   +0x001c: 00000000 -> 00ffffff
   +0x0020: 00000000 -> ff44cffe
   +0x0024: 00000000 -> ffffffff
   +0x0028: 00000000 -> 6d8c0100
   +0x002c: 00000000 -> ffffffff
   +0x0030: 00000000 -> 507bfa6d
   +0x0034: 00000000 -> 8c0100ff
   +0x0038: 00000000 -> ffffff50
   +0x003c: 00000000 -> 7bfaffff
   +0x0040: 00000000 -> ffffffff
   +0x0044: 00000000 -> ffff0000
   +0x0400: 00000000 -> a38d0100
   +0x0404: 00000000 -> ffffffff
   +0x0408: 00000000 -> 44cffeff
   +0x040c: 00000000 -> ffffffa3
   +0x0410: 00000000 -> 8d0100ff
   +0x0414: 00000000 -> ffffff44
   +0x0418: 00000000 -> cffeffff
   +0x041c: 00000000 -> ffffffff
   +0x0420: 00000000 -> ffffffff
   +0x0424: 00000000 -> ffffffff
   +0x0428: 00000000 -> ffffffff
   +0x042c: 00000000 -> ffff0000
   +0x0800: 00000000 -> 6d8c0100
   +0x0804: 00000000 -> ffffffff
   +0x0808: 00000000 -> 507bfa6d
   +0x080c: 00000000 -> 8c0100ff
   +0x0810: 00000000 -> ffffff50
   +0x0814: 00000000 -> 7bfaffff
   +0x0818: 00000000 -> ffffffff
   +0x081c: 00000000 -> ffff6d8c
