  UNEXPECTED: (9, 'dag_009_n11', 'MAIN_DAG', 'OK', False, True)
  UNEXPECTED: (15, 'dag_015_n18', 'MAIN_DAG', 'OK', False, True)
  UNEXPECTED: (16, 'dag_016_n20', 'MAIN_DAG', 'OK', False, True)
  UNEXPECTED: (17, 'dag_017_n22', 'MAIN_DAG', 'OK', False, True)
  UNEXPECTED: (18, 'dag_018_n24', 'MAIN_DAG', 'OK', False, True)
  UNEXPECTED: (19, 'dag_019_n26', 'MAIN_DAG', 'OK', False, True)
  UNEXPECTED: (50, 'dag_050_n4', 'MAIN_DAG', 'OK', False, True)
  UNEXPECTED: (115, 'regb_R064', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (116, 'regb_R065', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (117, 'regb_R066', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (118, 'regb_R067', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (119, 'regb_R068', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (120, 'regb_R079', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (121, 'regb_R080', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (122, 'regb_R095', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (123, 'regb_R096', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (124, 'regb_R111', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (125, 'regb_R112', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (126, 'regb_R126', 'REGBOUNDARY', 'CMDBUF_ERROR', False, True)
  UNEXPECTED: (127, 'regb_R127', 'REGBOUNDARY', 'CMDBUF_ERROR', False, True)
  UNEXPECTED: (128, 'regb_R064_poison_r0', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (129, 'regb_R065_poison_r1', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (130, 'regb_R067_poison_r3', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (131, 'regb_R079_poison_r15', 'REGBOUNDARY', 'OK', False, True)
  UNEXPECTED: (144, 'cf_trip3_false_arm', 'CF', 'OK', False, True)
  UNEXPECTED: (145, 'cf_trip5_true_arm', 'CF', 'HANG', False, True)
  UNEXPECTED: (146, 'cf_trip0_boundary_true', 'CF', 'OK', False, True)
  UNEXPECTED: (147, 'cf_trip0_boundary_false', 'CF', 'OK', False, True)
  UNEXPECTED: (148, 'cf_trip60_true_arm', 'CF', 'CMDBUF_ERROR', False, True)
  UNEXPECTED: (149, 'cf_cond7_guard_skipped', 'CF', 'OK', False, True)
  UNEXPECTED: (150, 'cf_trip0_false_arm', 'CF', 'CMDBUF_ERROR', False, True)
  UNEXPECTED: (151, 'cf_trip1_true_arm', 'CF', 'CMDBUF_ERROR', False, True)
  UNEXPECTED: (152, 'cf_negative_start_false_arm', 'CF', 'OK', False, True)
  UNEXPECTED: (153, 'cf_trip45_arithmetic', 'CF', 'OK', False, True)
  UNEXPECTED: (154, 'cf_trip2_boundary_false', 'CF', 'OK', False, True)
  UNEXPECTED: (155, 'cf_trip45_boundary_true', 'CF', 'OK', False, True)
  UNEXPECTED: (158, 'adv_opflags1_bothreal', 'ADVERSARIAL', 'OK', True, False)
