DEVICE Apple M4
CONFIG mode=uniform order=0,1,2,3,4,5,6,7 count=650 watchdog_sec=10.0 pad_mb=0 extra_queues=0
RESULT i=84 name=vs_u0084 stage=draw status=completed final_status=4 error=""
RESULT i=85 name=vs_u0085 stage=draw status=completed final_status=4 error=""
RESULT i=86 name=vs_u0086 stage=draw status=completed final_status=4 error=""
RESULT i=87 name=vs_u0087 stage=draw status=completed final_status=4 error=""
RESULT i=88 name=vs_u0088 stage=draw status=completed final_status=4 error=""
RESULT i=89 name=vs_u0089 stage=draw status=completed final_status=4 error=""
RESULT i=90 name=vs_u0090 stage=draw status=completed final_status=4 error=""
RESULT i=91 name=vs_u0091 stage=draw status=completed final_status=4 error=""
RESULT i=92 name=vs_u0092 stage=draw status=completed final_status=4 error=""
RESULT i=93 name=vs_u0093 stage=draw status=completed final_status=4 error=""
RESULT i=94 name=vs_u0094 stage=draw status=completed final_status=4 error=""
RESULT i=95 name=vs_u0095 stage=draw status=completed final_status=4 error=""
RESULT i=96 name=vs_u0096 stage=draw status=completed final_status=4 error=""
RESULT i=97 name=vs_u0097 stage=draw status=completed final_status=4 error=""
RESULT i=98 name=vs_u0098 stage=draw status=completed final_status=4 error=""
RESULT i=99 name=vs_u0099 stage=draw status=completed final_status=4 error=""
RESULT i=100 name=vs_u0100 stage=draw status=completed final_status=4 error=""
DUMP i=100
RESULT i=101 name=vs_u0101 stage=draw status=completed final_status=4 error=""
RESULT i=102 name=vs_u0102 stage=draw status=completed final_status=4 error=""
RESULT i=103 name=vs_u0103 stage=draw status=completed final_status=4 error=""
RESULT i=104 name=vs_u0104 stage=draw status=completed final_status=4 error=""
RESULT i=105 name=vs_u0105 stage=draw status=completed final_status=4 error=""
RESULT i=106 name=vs_u0106 stage=draw status=completed final_status=4 error=""
RESULT i=107 name=vs_u0107 stage=draw status=completed final_status=4 error=""
RESULT i=108 name=vs_u0108 stage=draw status=completed final_status=4 error=""
RESULT i=109 name=vs_u0109 stage=draw status=completed final_status=4 error=""
RESULT i=110 name=vs_u0110 stage=draw status=completed final_status=4 error=""
RESULT i=111 name=vs_u0111 stage=draw status=completed final_status=4 error=""
RESULT i=112 name=vs_u0112 stage=draw status=completed final_status=4 error=""
RESULT i=113 name=vs_u0113 stage=draw status=completed final_status=4 error=""
RESULT i=114 name=vs_u0114 stage=draw status=completed final_status=4 error=""
RESULT i=115 name=vs_u0115 stage=draw status=completed final_status=4 error=""
RESULT i=116 name=vs_u0116 stage=draw status=completed final_status=4 error=""
RESULT i=117 name=vs_u0117 stage=draw status=completed final_status=4 error=""
RESULT i=118 name=vs_u0118 stage=draw status=completed final_status=4 error=""
RESULT i=119 name=vs_u0119 stage=draw status=completed final_status=4 error=""
RESULT i=120 name=vs_u0120 stage=draw status=completed final_status=4 error=""
RESULT i=121 name=vs_u0121 stage=draw status=completed final_status=4 error=""
RESULT i=122 name=vs_u0122 stage=draw status=completed final_status=4 error=""
RESULT i=123 name=vs_u0123 stage=draw status=completed final_status=4 error=""
RESULT i=124 name=vs_u0124 stage=draw status=completed final_status=4 error=""
RESULT i=125 name=vs_u0125 stage=draw status=completed final_status=4 error=""
RESULT i=126 name=vs_u0126 stage=draw status=completed final_status=4 error=""
RESULT i=127 name=vs_u0127 stage=draw status=completed final_status=4 error=""
RESULT i=128 name=vs_u0128 stage=draw status=completed final_status=4 error=""
RESULT i=129 name=vs_u0129 stage=draw status=completed final_status=4 error=""
RESULT i=130 name=vs_u0130 stage=draw status=completed final_status=4 error=""
RESULT i=131 name=vs_u0131 stage=draw status=completed final_status=4 error=""
RESULT i=132 name=vs_u0132 stage=draw status=completed final_status=4 error=""
RESULT i=133 name=vs_u0133 stage=draw status=completed final_status=4 error=""
RESULT i=134 name=vs_u0134 stage=draw status=completed final_status=4 error=""
RESULT i=135 name=vs_u0135 stage=draw status=completed final_status=4 error=""
RESULT i=136 name=vs_u0136 stage=draw status=completed final_status=4 error=""
RESULT i=137 name=vs_u0137 stage=draw status=completed final_status=4 error=""
RESULT i=138 name=vs_u0138 stage=draw status=completed final_status=4 error=""
RESULT i=139 name=vs_u0139 stage=draw status=completed final_status=4 error=""
RESULT i=140 name=vs_u0140 stage=draw status=completed final_status=4 error=""
RESULT i=141 name=vs_u0141 stage=draw status=completed final_status=4 error=""
RESULT i=142 name=vs_u0142 stage=draw status=completed final_status=4 error=""
RESULT i=143 name=vs_u0143 stage=draw status=completed final_status=4 error=""
RESULT i=144 name=vs_u0144 stage=draw status=completed final_status=4 error=""
RESULT i=145 name=vs_u0145 stage=draw status=completed final_status=4 error=""
RESULT i=146 name=vs_u0146 stage=draw status=completed final_status=4 error=""
RESULT i=147 name=vs_u0147 stage=draw status=completed final_status=4 error=""
RESULT i=148 name=vs_u0148 stage=draw status=completed final_status=4 error=""
RESULT i=149 name=vs_u0149 stage=draw status=completed final_status=4 error=""
