### byte0 == 0x07 : 344 tokens, 183 files
  mnemonics: {'threadgroup_barrier': 280, 'mem_fence8': 36, 'link_save_restore': 28}
  b1   b2   b3   b4   b5   mnemonic              stage        count
  06   56   04   40   40   vary_store    8   vertex       1
  26   54   06   20   40   vary_store    8   vertex       1
  16   54   08   00   40   vary_store    8   vertex       1
  46   54   02   00   40   vary_store    8   vertex       1
  86   54   04   20   40   vary_store    8   vertex       1
  06   55   06   40   40   vary_store    8   vertex       1
  06   56   08   60   40   vary_store    8   vertex       1
  16   54   0e   a0   40   vary_store    8   vertex       1
  26   54   0a   c0   40   vary_store    8   vertex       1
  06   54   00   e0   40   vary_store    8   vertex       1
  26   54   02   60   40   vary_store    8   vertex       1
  06   54   04   a0   40   vary_store    8   vertex       1
  06   54   02   e0   40   vary_store    8   vertex       1
  06   56   0a   40   40   vary_store    8   vertex       1
  06   55   0c   60   40   vary_store    8   vertex       1
  46   54   04   80   40   vary_store    8   vertex       1
  86   54   06   00   40   vary_store    8   vertex       1
  86   54   0e   a0   40   vary_store    8   vertex       1
  46   54   04   c0   40   vary_store    8   vertex       1
  16   54   00   20   40   vary_store    8   vertex       1
  06   54   00   40   40   vary_store    8   vertex       1
  46   54   0c   80   40   vary_store    8   vertex       1
  06   55   0e   c0   40   vary_store    8   vertex       1
  06   56   0c   e0   40   vary_store    8   vertex       1
  46   54   0e   a0   40   vary_store    8   vertex       1
  16   54   00   c0   40   vary_store    8   vertex       1
  46   54   0a   60   40   vary_store    8   vertex       1
  06   54   04   80   40   vary_store    8   vertex       1
  06   54   06   20   40   vary_store    8   vertex       1
  06   54   08   40   40   vary_store    8   vertex       1
  06   54   0a   60   40   vary_store    8   vertex       1
  06   56   0c   80   40   vary_store    8   vertex       1
  06   54   0e   a0   40   vary_store    8   vertex       1
  16   54   02   20   41   vary_store    8   vertex       1
  16   54   08   80   40   vary_store    8   vertex       1
  46   54   0e   e0   40   vary_store    8   vertex       1
  16   54   0e   e0   40   vary_store    8   vertex       1
  06   54   10   00   41   vary_store    8   vertex       1
  46   54   12   20   41   vary_store    8   vertex       1

0x57 byte+2 histogram: {'54': 554, '55': 31, '56': 40}
0x57 byte+5 histogram: {'01': 10, '40': 605, '41': 10}
0x07 byte+3 histogram: {'00': 28, '01': 4, '06': 1, '08': 53, '09': 6, '0a': 1, '0c': 105, '14': 7, '15': 3, '16': 1, '30': 1, '48': 64, '61': 56, 'c0': 1, 'c4': 13}
0x07 byte+4 histogram: {'00': 6, '02': 101, '09': 173, '80': 36, '81': 28}
