
=== gpu_va=0x68000  A=bo_sigusr1_h0_va68000_cpu104a74000_sz88e0.hex  B=bo_sigusr1_h0_va68000_cpu109994000_sz88e0.hex ===
  +0x0a58: 0x00000000 -> 0x3e23d70a   (A 0  B 1042536202)
  +0x0a5c: 0x00000000 -> 0x3f2e147b   (A 0  B 1059984507)
  +0x0a60: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0a64: 0x00000000 -> 0x41a80000   (A 0  B 1101529088)
  +0x0a68: 0x00000000 -> 0x421a0000   (A 0  B 1109000192)
  +0x0a6c: 0x00000000 -> 0xc1a40000   (A 0  B 3248750592)
  +0x0a70: 0x00000000 -> 0x3e3851ec   (A 0  B 1043878380)
  +0x0a74: 0x00000000 -> 0x3f23d70a   (A 0  B 1059313418)
  +0x0a78: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0a7c: 0x00000000 -> 0x41a00000   (A 0  B 1101004800)
  +0x0a80: 0x00000000 -> 0x42200000   (A 0  B 1109393408)
  +0x0a84: 0x00000000 -> 0xc1a00000   (A 0  B 3248488448)
  +0x0a88: 0x00000000 -> 0x3e4ccccd   (A 0  B 1045220557)
  +0x0a8c: 0x00000000 -> 0x3f19999a   (A 0  B 1058642330)
  +0x0a90: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0a94: 0x00000000 -> 0x41980000   (A 0  B 1100480512)
  +0x0a98: 0x00000000 -> 0x42260000   (A 0  B 1109786624)
  +0x0a9c: 0x00000000 -> 0xc19c0000   (A 0  B 3248226304)
  +0x0aa0: 0x00000000 -> 0x3e6147ae   (A 0  B 1046562734)
  +0x0aa4: 0x00000000 -> 0x3f0f5c29   (A 0  B 1057971241)
  +0x0aa8: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0aac: 0x00000000 -> 0x41900000   (A 0  B 1099956224)
  +0x0ab0: 0x00000000 -> 0x422c0000   (A 0  B 1110179840)
  +0x0ab4: 0x00000000 -> 0xc1980000   (A 0  B 3247964160)
  +0x0ab8: 0x00000000 -> 0x3e75c28f   (A 0  B 1047904911)
  +0x0abc: 0x00000000 -> 0x3f051eb8   (A 0  B 1057300152)
  +0x0ac0: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0ac4: 0x00000000 -> 0x41880000   (A 0  B 1099431936)
  +0x0ac8: 0x00000000 -> 0x42320000   (A 0  B 1110573056)
  +0x0acc: 0x00000000 -> 0xc1940000   (A 0  B 3247702016)
  +0x0ad0: 0x00000000 -> 0x3e851eb8   (A 0  B 1048911544)
  +0x0ad4: 0x00000000 -> 0x3ef5c28f   (A 0  B 1056293519)
  +0x0ad8: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0adc: 0x00000000 -> 0x41800000   (A 0  B 1098907648)
  +0x0ae0: 0x00000000 -> 0x42380000   (A 0  B 1110966272)
  +0x0ae4: 0x00000000 -> 0xc1900000   (A 0  B 3247439872)
  +0x0ae8: 0x00000000 -> 0x3e8f5c29   (A 0  B 1049582633)
  +0x0aec: 0x00000000 -> 0x3ee147ae   (A 0  B 1054951342)
  +0x0af0: 0x00000000 -> 0x41f00000   (A 0  B 1106247680)
  +0x0af4: 0x00000000 -> 0x41700000   (A 0  B 1097859072)
  +0x0af8: 0x00000000 -> 0x423e0000   (A 0  B 1111359488)
  +0x0afc: 0x00000000 -> 0xc18c0000   (A 0  B 3247177728)
  +0x0b00: 0x00000000 -> 0x3e99999a   (A 0  B 1050253722)
  +0x0b04: 0x00000000 -> 0x3ecccccd   (A 0  B 1053609165)

[127 differing words across 1 paired BO(s)]
