
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at105100000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu100cb4000_sz10000.hex ===
  [size differs: A read 0x4000  B read 0x10000]
  +0x0000: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0040: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0044: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x0080: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x00c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0100: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0140: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0180: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x01c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0200: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0280: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x02c0: 0x00000000 -> 0x10040000   (A 0  B 268697600)
  +0x0300: 0x00000000 -> 0x0000fcc0   (A 0  B 64704)

=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu10a358000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu100d68000_sz8000.hex ===
  +0x0008: 0x01000000 -> 0x01000040   (A 16777216  B 16777280)

=== gpu_va=0x10000000000  A=bo_sigusr1_h0_va10000000000_cpu105108000_sz10000.hex  B=bo_sigusr1_h0_va10000000000_cpu100c70000_sz10000.hex ===
  +0x0540: 0x0000000e -> 0x0709881c   (A 14  B 118065180)
  +0x0544: 0x00060006 -> 0x80000000   (A 393222  B 2147483648)
  +0x0548: 0x00060006 -> 0x0002800c   (A 393222  B 163852)
  +0x054c: 0x00060006 -> 0x00080000   (A 393222  B 524288)
  +0x0550: 0x00060006 -> 0x02541027   (A 393222  B 39063591)
  +0x0554: 0x00060006 -> 0x00080000   (A 393222  B 524288)
  +0x0558: 0x00060006 -> 0x000513f0   (A 393222  B 332784)
  +0x055c: 0x00060006 -> 0x0000000e   (A 393222  B 14)
  +0x0590: 0x00268027 -> 0x04268027   (A 2523175  B 69632039)
  +0x0594: 0x0222021f -> 0x0622021f   (A 35783199  B 102892063)
  +0x05a0: 0x020f0226 -> 0x020f0626   (A 34538022  B 34539046)
  +0x05b4: 0x025f0027 -> 0x025f0427   (A 39780391  B 39781415)
  +0x05c0: 0x0027822f -> 0x0427822f   (A 2589231  B 69698095)
  +0x05c4: 0x02200246 -> 0x06200246   (A 35652166  B 102761030)
  +0x05d4: 0x805c2040 -> 0x805c8040   (A 2153521216  B 2153545792)
  +0x05dc: 0x20400800 -> 0x80400800   (A 541067264  B 2151680000)
  +0x05e8: 0x007ba040 -> 0x4657a040   (A 8101952  B 1180147776)
  +0x05ec: 0x00400026 -> 0x40000454   (A 4194342  B 1073742932)
  +0x05f0: 0x00001000 -> 0x8657004a   (A 4096  B 2253848650)
  +0x05f4: 0x04544657 -> 0x40200654   (A 72631895  B 1075840596)
  +0x05f8: 0x004a4000 -> 0x1657004a   (A 4866048  B 374800458)
  +0x05fc: 0x06548657 -> 0x40400054   (A 106202711  B 1077936212)
  +0x0600: 0x004b4020 -> 0x027b004a   (A 4931616  B 41615434)
  +0x0604: 0x00541657 -> 0x26570c21   (A 5510743  B 643238945)
  +0x0608: 0x004b4040 -> 0x40600254   (A 4931648  B 1080033876)
  +0x060c: 0x02542657 -> 0x06570042   (A 39069271  B 106364994)
  +0x0610: 0x00434060 -> 0x40800855   (A 4407392  B 1082132565)
  +0x0614: 0x08540657 -> 0x0657004b   (A 139724375  B 106365003)
  +0x0618: 0x004b4080 -> 0x40a00a54   (A 4931712  B 1084230228)
  +0x061c: 0x0a540657 -> 0x0657004c   (A 173278807  B 106365004)
  +0x0620: 0x004840a0 -> 0x40c00c56   (A 4735136  B 1086327894)
  +0x0624: 0x0c560657 -> 0x0657004d   (A 206964311  B 106365005)
  +0x0628: 0x004d40c0 -> 0x40e00254   (A 5062848  B 1088422484)
  +0x062c: 0x02540657 -> 0x16570049   (A 39061079  B 374800457)
  +0x0630: 0x004940e0 -> 0x41000e54   (A 4800736  B 1090522708)
  +0x0634: 0x0e550657 -> 0x000e0048   (A 240453207  B 917576)
  +0x0638: 0x004c4100 -> 0x00000000   (A 4997376  B 0)
  +0x063c: 0x0000000e -> 0x00000000   (A 14  B 0)

=== gpu_va=0x10000058000  A=bo_sigusr1_h0_va10000058000_cpu10513c000_sz4000.hex  B=bo_sigusr1_h0_va10000058000_cpu100cc4000_sz4000.hex ===
  +0x030c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x040c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0410: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x050c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0514: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0518: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x060c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0618: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x061c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x070c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0720: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x080c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0824: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x090c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0928: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a2c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0a30: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b30: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0b34: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c34: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0c38: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0d3c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0e40: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f44: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x0f48: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x100c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1048: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x104c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x110c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x114c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1150: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x120c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1254: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x130c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1358: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x140c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x145c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1460: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x150c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1560: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1564: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x160c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1664: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1668: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x170c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1768: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x176c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x180c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1870: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x190c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1974: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1978: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1a0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1a78: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1a7c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1b0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1b7c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1b80: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1c0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1c80: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1c84: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1d0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1d88: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e0c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
  +0x1e8c: 0xff4080bf -> 0xff000000   (A 4282417343  B 4278190080)
