BOs only in A: 0x28000 0x38000 0x48000 0x58000 0x68000
BOs only in B: 0x20000 0x30000 0x40000 0x50000 0x60000 0x70000

=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu102d58000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1043f8000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0118: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0140: 0x00000000 -> 0x00000101   (A 0  B 257)
  +0x0144: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0148: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x014c: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0150: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x015c: 0x00000000 -> 0x00000598   (A 0  B 1432)
  +0x0160: 0x00000000 -> 0x00000010   (A 0  B 16)
  +0x016c: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0170: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0174: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0178: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x017c: 0x00000000 -> 0x20000000   (A 0  B 536870912)
  +0x0180: 0x00000000 -> 0x00000700   (A 0  B 1792)
  +0x0184: 0x00000000 -> 0x000181fc   (A 0  B 98812)
  +0x0188: 0x00000000 -> 0x00000e00   (A 0  B 3584)
  +0x018c: 0x00000000 -> 0x00018218   (A 0  B 98840)
  +0x0190: 0x00000000 -> 0x4000000e   (A 0  B 1073741838)
  +0x0198: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x019c: 0x00000000 -> 0x4000060d   (A 0  B 1073743373)
  +0x01a0: 0x00000000 -> 0x00000808   (A 0  B 2056)
  +0x01a8: 0x00000000 -> 0x61c40600   (A 0  B 1640236544)
  +0x01ac: 0x00000000 -> 0x00000003   (A 0  B 3)
  +0x01b0: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x01b8: 0x00000000 -> 0x28000000   (A 0  B 671088640)
  +0x01bc: 0x00000000 -> 0x28000000   (A 0  B 671088640)
  +0x01fc: 0x00000000 -> 0x00800000   (A 0  B 8388608)
  +0x0200: 0x00000000 -> 0x00020010   (A 0  B 131088)
  +0x0204: 0x00000000 -> 0x00000380   (A 0  B 896)
  +0x0210: 0x00000000 -> 0x4000060a   (A 0  B 1073743370)
  +0x0218: 0x00000000 -> 0x1a4f0048   (A 0  B 441385032)
  +0x021c: 0x00000000 -> 0x10000200   (A 0  B 268435968)
  +0x0220: 0x00000000 -> 0x07e00000   (A 0  B 132120576)
  +0x0224: 0x00000000 -> 0x07e00000   (A 0  B 132120576)
  +0x022c: 0x00000000 -> 0x00010000   (A 0  B 65536)
