BOs only in A: 0x10000060000 0x10000088000 0x10000100000 0x10000248000
  +0x03cc: 0x00000000 -> 0x54db0489   (A 0  B 1423639689)
  +0x03d0: 0x00000000 -> 0x56eb0449   (A 0  B 1458242633)
  +0x03d4: 0x00000000 -> 0x58fb0449   (A 0  B 1492845641)
  +0x03d8: 0x00000000 -> 0x5a0b0449   (A 0  B 1510671433)
  +0x03dc: 0x00000000 -> 0x4c9b0489   (A 0  B 1285227657)
  +0x03e0: 0x00000000 -> 0x4eab0449   (A 0  B 1319830601)
  +0x03e4: 0x00000000 -> 0x50bb0449   (A 0  B 1354433609)
  +0x03e8: 0x00000000 -> 0x52cb0449   (A 0  B 1389036617)
  +0x03ec: 0x00000000 -> 0x445b0449   (A 0  B 1146815561)
  +0x03f0: 0x00000000 -> 0x466b0449   (A 0  B 1181418569)
  +0x03f4: 0x00000000 -> 0x487b0449   (A 0  B 1216021577)
  +0x03f8: 0x00000000 -> 0x4a8b0449   (A 0  B 1250624585)
  +0x03fc: 0x00000000 -> 0x3c1b0449   (A 0  B 1008403529)

=== gpu_va=0x10000298000  A=bo_sigusr1_h0_va10000298000_cpu109c4c000_szc0000.hex  B=bo_sigusr1_h0_va10000298000_cpu1054cc000_sz8000.hex ===
  [size differs: A read 0x20000  B read 0x8000]

[762 differing words across 34 paired BO(s)]
